,LABEL_BaseExcess,LABEL_Fibrinogen,LABEL_AST,LABEL_Alkalinephos,LABEL_Bilirubin_total,LABEL_Lactate,LABEL_TroponinI,LABEL_SaO2,LABEL_Bilirubin_direct,LABEL_EtCO2,LABEL_Sepsis
EtCO22,200,391,184,275,277,319,330,399,34,107,38
EtCO23,273,351,26,26,25,131,146,25,179,141,11
EtCO24,210,261,249,221,229,171,73,279,183,383,179
EtCO25,94,78,175,173,141,150,404,197,81,270,54
EtCO26,386,406,216,189,219,298,384,292,352,394,75
EtCO27,85,258,303,392,367,24,309,105,134,104,22
EtCO28,192,389,302,363,336,339,133,86,314,36,86
EtCO29,18,173,214,250,188,86,22,305,20,15,94
EtCO210,11,28,42,64,44,262,39,157,209,20,123
EtCO211,377,12,87,96,106,355,174,341,214,366,283
EtCO212,154,358,194,188,243,149,51,214,373,145,343
PTT1,305,105,399,364,312,253,343,85,343,376,324
PTT2,385,167,195,230,242,207,170,239,294,360,327
PTT3,84,365,273,295,217,50,154,5,220,336,100
PTT4,338,74,34,29,54,141,336,162,399,333,133
PTT5,43,202,385,371,383,7,101,22,107,372,326
PTT6,250,168,244,253,216,206,391,84,313,146,378
PTT7,83,225,331,246,287,49,338,37,108,337,101
PTT8,17,177,201,196,159,126,33,137,290,264,74
PTT9,288,79,48,49,82,230,104,87,79,73,93
PTT10,383,106,190,142,257,297,102,291,293,16,339
PTT11,137,236,264,231,218,313,327,158,353,74,177
PTT12,337,153,9,8,32,63,292,40,362,275,87
BUN1,360,172,369,307,285,231,108,94,127,136,232
BUN2,138,296,86,95,55,250,240,136,315,280,241
BUN3,335,301,360,389,220,254,324,265,126,208,360
BUN4,289,366,47,50,10,371,68,93,23,135,224
BUN5,119,154,242,258,279,113,3,135,47,188,242
BUN6,248,207,198,183,258,111,275,113,409,407,303
BUN7,369,21,151,137,140,215,110,184,331,288,161
BUN8,329,313,130,126,132,176,93,269,366,399,220
BUN9,300,14,255,215,254,80,280,16,54,226,240
BUN10,150,315,254,216,262,224,392,248,292,256,366
BUN11,81,83,163,200,187,227,234,244,322,128,398
BUN12,260,386,141,113,111,183,259,103,334,257,310
Lactate1,160,162,85,75,70,31,220,95,102,116,245
Lactate2,140,262,168,163,163,172,29,388,384,345,345
Lactate3,39,39,246,326,271,70,165,50,174,198,289
Lactate4,393,183,176,227,201,212,202,212,278,401,350
Lactate5,128,47,314,329,308,20,299,121,181,278,40
Lactate6,363,263,289,323,299,71,72,351,12,204,395
Lactate7,25,388,355,257,398,45,36,307,330,40,196
Lactate8,10,318,343,322,395,76,204,398,80,9,82
Lactate9,366,6,135,169,156,106,396,352,249,118,354
Lactate10,96,158,258,318,324,184,42,203,166,66,21
Lactate11,223,270,210,201,298,143,357,308,369,165,332
Lactate12,296,314,367,407,396,290,41,156,236,316,131
Temp1,65,281,409,408,375,211,195,64,364,403,81
Temp2,291,182,90,93,49,396,145,387,141,262,199
Temp3,86,48,95,55,93,56,21,272,147,115,80
Temp4,392,394,245,296,212,142,232,320,317,302,130
Temp5,64,282,156,127,154,294,208,49,316,271,280
Temp6,66,30,321,273,394,325,406,280,85,231,28
Temp7,224,159,313,328,325,303,285,155,118,285,107
Temp8,290,46,161,158,155,210,300,382,237,203,109
Temp9,38,155,213,264,283,368,284,51,119,261,306
Temp10,358,311,16,14,113,326,351,275,240,317,351
Temp11,157,284,279,354,320,162,203,178,88,382,110
Temp12,287,203,247,256,272,15,274,306,289,277,92
Hgb1,404,98,200,202,213,157,183,213,64,303,331
Hgb2,221,75,51,46,14,124,251,204,140,359,393
Hgb3,103,123,115,120,114,39,4,72,130,82,106
Hgb4,209,319,233,247,374,156,76,10,267,230,244
Hgb5,310,152,234,186,276,216,149,336,295,201,276
Hgb6,126,407,243,261,281,54,92,32,121,169,108
Hgb7,299,306,383,333,400,328,245,240,296,389,65
Hgb8,177,305,46,61,47,40,26,357,395,7,287
Hgb9,36,360,366,375,371,95,89,177,28,299,174
Hgb10,259,367,382,334,409,191,119,154,285,308,309
Hgb11,252,210,109,104,103,286,147,179,76,347,128
Hgb12,249,328,146,162,162,137,385,216,306,151,175
HCO31,27,5,134,134,137,55,88,44,66,50,369
HCO32,256,84,271,241,194,315,243,101,241,328,78
HCO33,232,381,145,149,169,9,188,335,94,259,187
HCO34,182,285,345,351,366,159,114,254,215,327,315
HCO35,53,234,270,242,211,260,153,230,40,48,39
HCO36,19,237,350,344,338,151,94,262,18,24,24
HCO37,207,35,320,305,309,217,409,243,196,387,379
HCO38,100,89,159,171,161,122,48,311,190,284,203
HCO39,257,86,133,133,136,238,378,253,68,158,83
HCO310,362,178,322,319,363,316,141,229,152,283,391
HCO311,75,242,76,84,102,139,382,2,194,159,288
HCO312,370,209,111,112,109,258,273,347,22,263,259
BaseExcess1,60,243,373,378,370,108,34,78,39,41,90
BaseExcess2,162,179,160,170,160,237,328,102,67,49,15
BaseExcess3,76,399,180,151,249,153,143,14,158,35,367
BaseExcess4,69,354,278,299,339,114,86,361,325,160,191
BaseExcess5,313,58,323,298,380,123,23,246,151,408,380
BaseExcess6,361,197,226,277,193,77,142,56,261,166,79
BaseExcess7,101,357,225,276,250,36,233,401,193,140,204
BaseExcess8,371,397,53,53,46,140,167,153,142,182,316
BaseExcess9,201,396,257,255,251,226,53,128,53,357,192
BaseExcess10,271,69,359,314,382,115,71,57,378,143,206
BaseExcess11,356,405,402,358,355,158,113,247,65,216,207
BaseExcess12,144,57,10,12,11,246,66,392,383,65,260
Fibrinogen1,88,348,388,402,373,407,5,397,380,33,228
Fibrinogen2,231,387,395,343,405,369,286,48,57,224,91
Fibrinogen3,263,256,358,403,406,38,400,268,129,87,323
Fibrinogen4,204,110,394,385,389,395,228,141,48,60,150
Fibrinogen5,178,192,287,265,205,287,344,346,29,212,329
Fibrinogen6,379,377,286,266,344,146,78,345,260,124,129
Fibrinogen7,156,215,221,192,296,372,194,160,258,123,20
Fibrinogen8,348,81,57,34,33,388,407,402,128,309,189
Fibrinogen9,91,302,298,267,264,105,361,209,37,300,254
Fibrinogen10,368,268,250,283,301,278,96,389,381,19,249
Fibrinogen11,54,1,378,342,348,35,52,36,349,90,248
Fibrinogen12,343,338,228,219,210,354,377,276,403,386,255
Phosphate1,367,26,54,101,66,12,218,274,163,119,46
Phosphate2,281,141,120,111,95,118,82,395,310,267,373
Phosphate3,20,364,283,190,235,66,173,337,203,197,10
Phosphate4,16,240,55,102,67,247,389,186,157,164,45
Phosphate5,80,13,67,76,53,335,368,408,93,91,346
Phosphate6,115,185,295,340,328,202,350,296,171,45,53
Phosphate7,184,56,229,236,275,304,318,77,253,228,272
Phosphate8,183,337,119,110,94,119,181,169,301,330,162
Phosphate9,47,322,330,353,403,138,349,9,388,274,159
Phosphate10,185,283,18,21,19,78,118,195,273,232,305
Phosphate11,59,88,377,311,248,23,337,88,164,202,59
Phosphate12,265,331,230,235,239,201,362,319,359,279,405
WBC1,42,372,352,291,321,109,207,30,338,147,57
WBC2,164,186,238,259,231,168,178,281,272,326,394
WBC3,237,55,384,341,327,409,222,374,254,69,43
WBC4,129,94,40,39,35,100,272,170,180,196,44
WBC5,114,379,227,218,209,228,180,205,170,70,147
WBC6,301,304,52,45,51,167,247,79,105,154,158
WBC7,380,190,174,181,146,406,252,315,50,358,156
WBC8,216,220,284,278,236,248,306,80,303,210,122
WBC9,280,264,341,396,393,79,369,318,311,377,214
WBC10,407,93,3,3,3,348,312,304,4,46,157
WBC11,98,273,181,161,164,47,6,117,36,99,127
WBC12,130,124,404,337,361,101,217,104,49,323,334
Creatinine1,193,330,386,393,407,267,379,301,46,289,344
Creatinine2,251,139,231,204,203,177,216,270,283,103,164
Creatinine3,397,191,327,369,391,329,244,277,201,343,371
Creatinine4,277,143,105,128,91,255,223,278,259,28,68
Creatinine5,186,144,344,401,356,174,398,176,319,276,404
Creatinine6,298,160,260,294,399,285,317,221,189,148,298
Creatinine7,403,241,269,338,238,175,60,161,367,117,264
Creatinine8,357,119,191,198,192,376,126,371,307,38,403
Creatinine9,29,27,203,395,385,48,80,60,339,127,23
Creatinine10,339,165,368,331,335,272,63,350,227,350,270
Creatinine11,409,104,71,71,79,11,137,164,365,319,111
Creatinine12,279,291,376,380,362,219,106,148,275,126,211
PaCO21,50,133,202,269,252,22,24,227,56,94,132
PaCO22,7,43,398,345,384,300,304,317,221,125,311
PaCO23,97,3,79,52,69,356,79,129,55,89,284
PaCO24,132,166,333,355,349,379,219,61,337,108,235
PaCO25,340,290,375,349,346,225,374,149,228,258,294
PaCO26,202,347,392,388,404,94,341,124,357,331,347
PaCO27,52,42,306,244,222,62,305,29,109,318,185
PaCO28,350,295,27,72,18,351,311,228,350,397,125
PaCO29,24,66,334,293,241,25,231,140,186,31,6
PaCO210,359,109,332,302,197,310,270,181,112,186,293
PaCO211,225,371,351,382,401,75,380,11,286,162,281
PaCO212,51,380,147,245,196,197,54,62,246,109,62
AST1,347,403,285,234,184,311,139,326,398,217,210
AST2,113,246,256,240,195,392,43,384,139,388,213
AST3,133,71,118,121,124,349,105,125,382,98,63
AST4,319,404,64,28,77,220,354,364,265,396,352
AST5,293,226,218,217,226,280,103,222,11,32,285
AST6,396,70,400,372,286,135,310,123,185,296,236
AST7,218,108,78,73,78,393,269,385,87,361,212
AST8,375,142,6,4,4,221,64,363,82,218,124
AST9,141,274,364,397,365,331,8,293,72,244,119
AST10,121,253,307,243,223,375,138,185,336,213,253
AST11,387,293,77,68,74,85,205,377,125,200,365
AST12,151,369,280,289,314,400,61,237,51,37,105
FiO21,275,36,59,60,92,405,329,400,100,314,115
FiO22,334,72,58,58,139,309,91,312,232,313,64
FiO23,211,181,391,365,297,19,90,81,106,84,34
FiO24,321,346,11,10,12,408,37,190,111,68,188
FiO25,304,211,207,212,180,245,130,225,392,179,209
FiO26,400,294,167,138,147,46,97,119,340,4,102
FiO27,35,18,288,262,310,34,124,142,204,130,297
FiO28,230,90,129,117,121,373,213,297,199,368,190
FiO29,241,60,110,87,96,1,191,163,372,260,76
FiO210,303,247,328,317,360,399,166,303,347,78,138
FiO211,57,334,311,301,266,381,35,236,205,21,382
FiO212,2,255,136,153,151,194,190,234,391,80,184
Platelets1,302,2,41,43,37,59,322,261,3,51,355
Platelets2,93,45,275,315,289,391,249,322,404,112,296
Platelets3,268,65,363,374,408,327,211,331,242,229,97
Platelets4,374,171,281,300,265,344,307,314,277,206,307
Platelets5,122,288,305,357,302,65,125,19,250,405,183
Platelets6,292,300,4,6,42,362,295,188,375,301,348
Platelets7,22,378,206,140,125,26,366,69,302,92,1
Platelets8,212,111,329,316,333,261,271,332,243,139,167
Platelets9,139,327,336,332,240,307,67,7,146,93,282
Platelets10,34,208,131,155,142,259,358,171,145,8,118
Platelets11,213,200,274,263,307,179,212,235,104,207,381
Platelets12,58,232,154,156,183,404,308,339,329,22,262
SaO21,92,112,128,116,120,223,248,187,103,106,25
SaO22,153,260,101,92,117,397,168,406,233,352,397
SaO23,242,196,150,148,149,302,276,130,24,83,374
SaO24,323,64,372,404,352,240,83,76,269,105,383
SaO25,282,231,137,152,182,180,388,340,374,334,137
SaO26,233,44,22,22,6,136,267,298,153,353,178
SaO27,247,349,339,281,311,60,7,143,351,58,218
SaO28,56,279,304,381,303,361,364,39,202,273,250
SaO29,381,408,335,308,376,330,109,127,385,175,376
SaO210,152,398,165,143,131,68,227,201,25,293,166
SaO211,354,140,192,272,237,256,136,182,309,324,225
SaO212,239,194,387,285,386,243,135,183,323,110,168
Glucose1,364,85,164,193,165,189,290,210,324,351,35
Glucose2,136,151,312,254,263,358,27,299,358,53,48
Glucose3,378,384,241,177,202,312,323,180,113,185,308
Glucose4,181,164,219,211,215,87,14,165,282,59,52
Glucose5,48,15,224,226,402,28,238,73,213,100,216
Glucose6,332,221,266,309,316,334,117,302,320,137,256
Glucose7,349,199,125,47,88,6,172,122,393,23,18
Glucose8,267,356,204,223,284,117,381,283,73,101,186
Glucose9,28,87,187,224,260,73,25,259,159,30,154
Glucose10,6,129,75,146,177,208,254,193,210,157,99
Glucose11,398,4,62,82,52,53,162,109,27,168,322
Glucose12,107,353,251,280,253,199,116,258,75,373,26
Magnesium1,246,62,292,348,282,374,372,191,360,310,149
Magnesium2,163,61,94,94,126,333,261,256,74,250,257
Magnesium3,123,34,267,229,227,44,253,33,400,384,312
Magnesium4,253,170,30,36,36,241,182,231,263,322,55
Magnesium5,14,128,158,205,167,17,84,310,19,194,2
Magnesium6,108,101,138,195,214,181,371,284,304,311,56
Magnesium7,149,103,315,290,315,188,140,24,133,167,221
Magnesium8,89,102,253,248,232,318,403,89,217,29,135
Magnesium9,330,131,39,37,40,269,301,106,195,192,399
Magnesium10,205,276,157,160,168,116,230,192,271,193,337
Magnesium11,49,222,252,249,267,198,402,75,332,385,229
Magnesium12,254,298,93,85,86,401,282,313,262,379,321
Potassium1,169,107,102,100,107,178,246,66,14,390,163
Potassium2,112,374,188,225,259,268,159,147,198,205,67
Potassium3,266,251,403,377,381,266,87,238,192,187,136
Potassium4,376,54,5,5,5,242,255,257,175,252,134
Potassium5,388,308,60,57,59,340,9,114,98,155,148
Potassium6,82,130,316,306,337,249,171,8,270,246,19
Potassium7,240,249,263,228,175,152,367,217,124,325,77
Potassium8,234,287,74,69,61,193,346,376,26,170,265
Potassium9,238,37,354,313,317,292,326,241,389,255,169
Potassium10,174,269,179,206,204,347,44,372,161,81,317
Potassium11,274,122,112,118,116,332,303,393,257,402,291
Potassium12,33,50,15,48,16,97,279,223,154,220,151
Calcium1,161,297,197,176,174,132,265,267,255,272,41
Calcium2,71,163,108,97,115,214,32,74,200,6,4
Calcium3,21,17,91,107,100,21,59,27,348,172,30
Calcium4,373,174,346,312,246,252,121,368,188,290,341
Calcium5,236,76,25,18,24,8,75,379,148,221,13
Calcium6,318,321,294,297,319,365,122,65,401,163,73
Calcium7,46,362,406,400,372,57,18,215,284,26,387
Calcium8,5,184,370,387,369,282,395,359,95,64,114
Calcium9,324,9,43,41,45,128,365,110,83,378,126
Calcium10,148,376,237,199,273,345,123,358,368,286,72
Calcium11,147,390,69,74,80,402,408,266,238,406,375
Calcium12,270,363,293,362,300,145,196,390,405,315,377
Alkalinephos1,79,11,397,368,256,41,250,18,208,85,295
Alkalinephos2,317,59,35,30,28,389,355,285,169,380,362
Alkalinephos3,8,239,185,207,186,2,206,28,377,335,5
Alkalinephos4,269,117,276,271,247,170,192,404,187,291,141
Alkalinephos5,333,343,380,327,354,257,221,6,97,54,195
Alkalinephos6,106,292,239,233,278,323,315,98,70,364,370
Alkalinephos7,402,333,148,119,101,279,264,144,149,242,407
Alkalinephos8,145,125,36,31,29,169,197,403,71,27,274
Alkalinephos9,61,118,92,105,127,367,215,97,394,238,342
Alkalinephos10,190,309,61,66,65,314,293,167,150,307,361
Alkalinephos11,307,332,301,292,304,382,257,300,31,113,389
Alkalinephos12,159,252,389,399,345,236,224,242,408,346,89
Bilirubin_direct1,146,230,371,336,390,88,193,145,219,243,113
Bilirubin_direct2,262,206,7,7,7,370,152,365,168,173,353
Bilirubin_direct3,276,385,68,63,63,235,11,107,131,72,173
Bilirubin_direct4,109,342,240,208,255,186,74,118,407,306,386
Bilirubin_direct5,382,329,196,260,292,110,112,344,101,174,29
Bilirubin_direct6,127,127,223,203,207,166,335,99,207,199,266
Bilirubin_direct7,325,77,162,178,270,398,45,394,376,120,96
Bilirubin_direct8,306,120,208,179,244,81,278,159,371,121,328
Bilirubin_direct9,297,121,393,366,368,190,277,321,162,181,42
Bilirubin_direct10,68,180,29,16,50,271,150,189,9,269,223
Bilirubin_direct11,272,97,170,164,171,69,129,287,206,138,222
Bilirubin_direct12,124,325,21,25,22,58,95,38,69,2,269
Chloride1,87,38,262,287,268,74,226,54,89,62,71
Chloride2,220,257,309,310,228,321,256,138,406,176,364
Chloride3,389,233,149,132,158,3,40,115,42,10,302
Chloride4,355,254,178,166,225,289,399,263,137,132,286
Chloride5,37,286,297,286,350,324,20,294,386,131,140
Chloride6,4,187,340,379,341,377,225,67,328,144,50
Chloride7,372,10,50,62,83,134,291,196,21,178,313
Chloride8,173,195,73,67,73,102,333,112,90,63,304
Chloride9,90,132,103,106,105,125,134,309,43,239,396
Chloride10,395,40,172,210,185,213,348,111,297,295,70
Chloride11,67,188,408,406,295,32,156,13,355,287,330
Chloride12,227,219,13,42,39,112,296,249,120,355,58
Hct1,12,189,232,154,178,61,164,96,266,223,408
Hct2,294,169,33,32,38,103,298,355,92,266,233
Hct3,365,341,299,352,334,192,347,4,248,79,104
Hct4,172,150,296,360,293,378,260,202,218,156,252
Hct5,158,53,401,409,377,182,100,139,167,398,301
Hct6,134,92,104,109,104,133,175,194,216,180,27
Hct7,55,198,116,131,118,42,49,199,91,298,363
Hct8,245,52,117,91,119,320,176,407,363,371,290
Hct9,384,359,205,194,208,383,186,252,45,47,384
Hct10,125,395,215,268,173,229,281,295,298,393,275
Hct11,235,41,217,237,172,104,77,366,245,240,234
Hct12,226,350,32,13,9,317,99,367,344,354,201
Bilirubin_total1,191,336,177,168,157,203,12,226,370,102,139
Bilirubin_total2,167,224,362,394,313,390,316,323,387,340,153
Bilirubin_total3,320,267,28,27,34,18,360,126,178,348,368
Bilirubin_total4,203,266,169,180,206,107,352,100,354,149,32
Bilirubin_total5,327,382,338,303,353,291,70,63,17,254,263
Bilirubin_total6,171,375,325,304,330,341,69,354,312,152,385
Bilirubin_total7,258,373,318,335,329,403,268,338,256,153,95
Bilirubin_total8,165,303,183,165,110,270,151,273,155,342,299
Bilirubin_total9,222,96,277,324,221,163,373,45,38,374,146
Bilirubin_total10,13,204,189,191,191,14,187,17,2,1,12
Bilirubin_total11,23,22,100,125,90,27,262,23,247,133,37
Bilirubin_total12,155,67,349,376,332,342,28,208,173,96,340
TroponinI1,219,299,72,38,30,5,331,349,58,44,333
TroponinI2,243,145,70,54,31,251,179,131,144,97,325
TroponinI3,32,137,236,251,290,263,163,116,172,43,112
TroponinI4,9,235,44,65,58,264,189,370,235,95,390
TroponinI5,401,8,186,184,181,144,342,245,308,25,258
TroponinI6,78,344,290,238,351,155,160,232,191,134,239
TroponinI7,104,146,390,386,378,173,287,132,229,189,198
TroponinI8,206,393,37,33,130,385,47,348,230,215,251
TroponinI9,70,99,379,398,323,148,405,68,224,142,66
TroponinI10,342,392,17,81,108,277,85,207,61,305,400
TroponinI11,3,280,144,103,68,13,393,31,223,183,16
TroponinI12,285,245,132,167,97,394,356,286,305,214,170
pH1,408,326,127,197,305,185,332,3,341,13,401
pH2,31,31,357,370,331,89,46,52,143,42,406
pH3,312,25,381,350,269,288,155,282,268,338,197
pH4,390,339,126,174,87,209,81,290,197,71,165
pH5,77,201,99,89,64,337,115,233,252,381,155
pH6,341,147,88,40,56,127,345,381,397,222,237
pH7,345,138,353,347,358,205,339,90,35,190,120
pH8,102,229,235,252,347,154,387,53,287,195,273
pH9,166,63,182,124,145,52,214,264,59,191,171
pH10,286,368,38,17,23,308,229,342,60,367,238
pH11,197,275,272,274,291,346,13,373,345,241,98
pH12,353,100,212,157,179,234,288,224,225,312,300
